fwy,dir,sta_from,sta_to,mid_x,mid_y,speed_pm_mph,vol_day_veh,cell_euclidean,cell_weighted
10,E,737278,764054,-18523.066726416168,-4122.66336964355,51.996105945098236,84634.0,31,31
10,E,764054,718410,-17792.02573245073,-3975.275689643514,53.22359799204404,64672.5,31,31
10,E,718410,764125,-17380.881453473332,-3918.613809643405,58.73564402104171,54626.5,31,31
10,E,764125,764130,-17277.276968235998,-3912.546869643298,57.25725588627998,68104.5,31,31
10,E,764130,718412,-16937.784389328663,-3910.2091496432686,54.56137484412767,98139.5,31,31
10,E,718412,763336,-16338.565924644052,-3910.376129643242,47.96860005109222,111750.0,31,31
10,E,763336,717008,-15892.425738103031,-3964.867269643295,45.904527001533395,109213.0,31,31
10,E,717008,717009,-15324.099576537716,-4083.4787296432146,41.8559032088152,129577.5,31,31
10,E,717009,768584,-14471.610334190398,-4139.750989643121,33.6125783646316,132084.0,31,31
10,E,768584,717011,-13879.354164686523,-4047.0214296431113,34.4716507226736,115253.5,31,44
10,E,717011,716036,-13506.018376093516,-3790.2618496431623,31.98488319878279,117383.0,31,31
10,E,716036,717014,-12996.29537462482,-3474.947949643136,23.26909408087068,113537.5,31,31
10,E,717014,717016,-12531.158727061302,-3363.460969643422,18.625355590800147,101143.5,31,44
10,E,717016,717020,-12177.833773623126,-3433.592569643535,17.121040938891134,96857.5,31,44
10,E,717020,717022,-11789.374588876362,-3534.8381096433995,16.45890195715164,108588.5,31,44
10,E,717022,718415,-11325.160099615205,-3637.5864696434255,18.370324188445267,119228.5,44,8
10,E,718415,763963,-10749.318347888,-3665.750429643506,24.864808841637366,119081.0,44,8
10,E,763963,764249,-10347.165112355357,-3649.330729643435,32.45725155349289,115085.5,8,8
10,E,764249,717028,-10106.159040109344,-3637.9760896432326,37.82263467519746,107615.5,8,8
10,E,717028,716047,-9785.247950989622,-3619.7752696433085,53.77381678396185,105965.5,8,8
10,E,716047,716050,-9360.54794497196,-3592.8358296433003,54.50898464776363,115931.5,8,8
10,E,716050,717032,-8686.404118244034,-3553.261569643157,43.55391547928669,128708.5,8,8
10,E,717032,717035,-7751.058952455318,-3458.3612696430914,44.968551105116994,135391.5,8,8
10,E,717035,763346,-7027.1185774155765,-3361.735509643032,45.06476613542743,123848.5,8,8
10,E,763346,716057,-6749.226173086883,-3329.953649643385,47.161888662977496,106852.0,8,8
